"directors","movie_name"
"Anthony Russo","Avengers: Infinity War"
"Joe Russo","Avengers: Infinity War"
"Ryan Coogler","Black Panther"
"David Leitch","Deadpool 2"
"Bryan Singer","Bohemian Rhapsody"
"John Krasinski","A Quiet Place"
"Steven Spielberg","Ready Player One"
"Ruben Fleischer","Venom"
"James Wan","Aquaman"
"Bradley Cooper","A Star Is Born"
"Bob Persichetti","Spider-Man: Into the Spider-Verse"
"Peter Ramsey","Spider-Man: Into the Spider-Verse"
"1 more credit","Spider-Man: Into the Spider-Verse"
"Peyton Reed","Ant-Man and the Wasp"
"Peter Farrelly","Green Book"
"Christopher McQuarrie","Mission: Impossible - Fallout"
"Alex Garland","Annihilation"
"Ron Howard","Solo: A Star Wars Story"
"Susanne Bier","Bird Box"
"J.A. Bayona","Jurassic World: Fallen Kingdom"
"Brad Bird","Incredibles 2"
"David Yates","Fantastic Beasts: The Crimes of Grindelwald"
"Ari Aster","Hereditary"
"John Francis Daley","Game Night"
"Jonathan Goldstein","Game Night"
"Roar Uthaug","Tomb Raider"
"Spike Lee","BlacKkKlansman"
"Gary Ross","Ocean's Eight"
"Francis Lawrence","Red Sparrow"
"Damien Chazelle","First Man"
"Yorgos Lanthimos","The Favourite"
"Jon Turteltaub","The Meg"
"Brad Peyton","Rampage"
"Leigh Whannell","Upgrade"
"Wes Anderson","Isle of Dogs"
"Alfonso Cuarón","Roma"
"Aneesh Chaganty","Searching"
"Jon M. Chu","Crazy Rich Asians"
"Travis Knight","Bumblebee"
"Antoine Fuqua","The Equalizer 2"
"Drew Goddard","Bad Times at the El Royale"
"Phil Johnston","Ralph Breaks the Internet"
"Rich Moore","Ralph Breaks the Internet"
"Stefano Sollima","Sicario: Day of the Soldado"
"Shane Black","The Predator"
"David Gordon Green","Halloween"
"Corin Hardy","The Nun"
"Paul Feig","A Simple Favor"
"David Slade","Black Mirror: Bandersnatch"
"Ethan Coen","The Ballad of Buster Scruggs"
"Joel Coen","The Ballad of Buster Scruggs"
"Wes Ball","Maze Runner: The Death Cure"
"Jeff Tomsic","Tag"
"Steven S. DeKnight","Pacific Rim: Uprising"
"Adam McKay","Vice"
"Jaume Collet-Serra","The Commuter"
