"Year","Title","Sequel","Budget","Gross","ReleaseDate","StoryLine","Runtime","SoundMix","Color","AspectRatio","MPAA","RateScore","NumRate","NumReview","NumCritic","ProductionDate","FilmingDate","TopActor","TopDirectors","Comedy","Family","Fantasy","Crime","Drama","Mystery","Thriller","Horror","Action","Adventure","Sci.Fi","Romance","Biography","History","War","Animation","Musical","Sport","Music","Western","Adult","News","Reality.TV","Talk.Show","Short","Game.Show","independent.film","murder","death","female.nudity","blood","flashback","husband.wife.relationship","sex","father.son.relationship","character.name.in.title","violence","friendship","love","mother.son.relationship","family.relationships","father.daughter.relationship","title.spoken.by.character","bare.chested.male","one.word.title","cigarette.smoking","kiss","pistol","bar","revenge","mother.daughter.relationship","dog","police","boyfriend.girlfriend.relationship","new.york.city","gun","surprise.ending","fight","hospital","nudity","photograph","dancing","cell.phone","restaurant","party","friend","based.on.novel","chase","explosion","knife","male.nudity","shot.in.the.chest","corpse","telephone.call","drinking","shot.to.death","gross","budget","critic","numrate","numreview","ratescore","nummon","day","daynum","budget_class","competition","ActorScore","ActorScore_budget","Country","BigSix","country_num","ThreeD","mpaa","SBetcentrality","SClosecentrality","SDegreecentrality","SEigencentrality","ABetcentrality","AClosecentrality","ADegreecentrality","AEigencentrality","PSBetcentrality","PSClosecentrality","PSDegreecentrality","PSEigencentrality","PABetcentrality","PAClosecentrality","PADegreecentrality","PAEigencentrality","gross_ind","Actor_eig","Actor_bet","Actor_clo","Actor_deg","std_bet","std_deg","std_clo","std_eig","PS_betcentrality","PS_clocentrality","PS_degcentrality","PS_eigcentrality","sumComp","meanComp","sumComm","meanComm","centralitySum","logbudget","releaseYear","integerDate","competingBudget","SequelMark","sequal","releaseDay","MonthStr","AD_ind","AD_total","Ave_actor_age","Oeig","Obet","Oclo","Odeg","Orth_Eig","Orth_Clo","Orth_Deg","Orth_Bet","AP_ind","AP_total","rn"
2003,"Freddy vs. Jason (2003)",0,"$25,000,000","$82,163,317","Release Date: 15 August 2003 (USA) See more ‘_","It's been nearly ten years since Freddy Krueger terrorized people in the dreams, and the towns folk want to keep him erased from their memory. Freddy still has one more plan on getting back to Elm Street. He resurrects Jason Voorhees and sends him off to kill. The more bodies which fall to the ground, the stronger in which Freddy becomes. This is until, Freddy realizes that Jason isn't going to step aside easily, and must be taken down himself. Written by Film_Fan","97 min","Sound Mix: DTS | Dolby Digital | SDDS","Color","Aspect Ratio: 2.35 : 1","Rated R for pervasive strong horror violence/gore, gruesome images, sexuality, drug use and language",5.8,84987,"876 user","271 critic","null","9 September 2002 - 26 November",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,76898081.97,23397936.2,271,84987,876,5.8,8,15,3175,3,42,0,0,"USA",0,1,0,"R",6330.163368,0.00868,92,0.01914216,2110.054456,0.002893333,30.66666667,0.00638072,7.189542484,24.83660131,14.37908497,13.07189542,7.189542484,25.49019608,14.37908497,13.7254902,8,3.043087826,0.043087826,2.999981698,0.225635593,0.081166324,0.179595278,0.749999683,0.759708416,11.76470588,13.07189542,11.76470588,11.11111111,3,1,3,1,47.7124183,16.9681583798572,2003,12279,245.399947953263,0,0,15,"Aug",0,21,40.6666666666667,194117.040799767,194114.040799767,1.19836025187493e-09,426,0.00377979072975018,0.00281520474524522,0.00335125595863193,-0.0103630909852747,0,6,0.175390536198393
2003,"Love Actually (2003)",0,"$45,000,000","$59,365,105","Release Date: 14 November 2003 (USA) See more ‘_","Against the backdrop of aged has-been rock star Billy Mack's Christmas themed comeback cover of ""Love Is All Around"" which he knows is crap and makes no bones about it much to his manager Joe's chagrin as he promotes the record, several interrelated stories about romantic love and the obstacles to happiness through love for Londoners are presented in the five weeks preceding Christmas. Daniel's wife has just passed away, leaving him to take care of his adolescent stepson Sam by himself. Daniel is uncertain how to deal with Sam and his problems without his wife present, especially in light of a potential budding romance within their household. Juliet and Peter have just gotten married. They believe that Peter's best friend and best man Mark hates Juliet but won't say so to his or her face. Others looking at the situation from the outside believe Mark is jealous of Juliet as he is in love with Peter himself. Jamie, a writer, is taking a writing retreat by himself in rural France ... Written by Huggo","135 min","Sound Mix: DTS (as dts)| Dolby Digital | SDDS","Color","Aspect Ratio: 2.35 : 1","Rated R for sexuality, nudity and language",7.7,296610,"990 user","218 critic","null","2 September 2002 - 26 November",10,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,55560837.57,42116285.16,218,296610,990,7.7,11,14,3264,4,61,0.034563319,-0.002907908,"USA",0,1,0,"R",22099.22527,0.00869,179,0.040562613,7366.408422,0.002896667,59.66666667,0.013520871,43.1372549,55.55555556,31.37254902,23.52941176,43.1372549,56.20915033,31.37254902,23.52941176,7,3.098035758,0.098035758,2.999985134,0.393008475,0.184674022,0.312816189,0.750000542,0.773426196,29.41176471,22.22222222,24.18300654,28.75816993,3,1,3,1,104.5751634,17.5559450447593,2003,12370,298.975460333866,0,0,14,"Nov",1,63,40.3333333333333,441661.793296429,441658.793296429,1.19836162427824e-09,742,0.00680362331470694,0.00952276908473677,0.0206175558408451,0.0132822722465925,2,58,0.390948151471093
2003,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)",1,"$140,000,000","$305,413,918","Release Date: 9 July 2003 (USA) See more ‘_","This swash-buckling tale follows the quest of Captain Jack Sparrow, a savvy pirate, and Will Turner, a resourceful blacksmith, as they search for Elizabeth Swann. Elizabeth, the daughter of the governor and the love of Will's life, has been kidnapped by the feared Captain Barbossa. Little do they know, but the fierce and clever Barbossa has been cursed. He, along with his large crew, are under an ancient curse, doomed for eternity to neither live, nor die. That is, unless a blood sacrifice is made. Written by the lexster","143 min","Sound Mix: Dolby Digital EX | SDDS | DTS","Color","Aspect Ratio: 2.35 : 1","Rated PG-13 for action/adventure violence",8.1,744217,"2,103 user","267 critic","null","9 February 2002 - 12 December",7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,285842214.7,131028442.7,267,744217,2103,8.1,7,9,3139,5,40,-0.415375969,-0.439672129,"USA",1,1,0,"PG-13",34221.40747,0.00869,253,0.062166276,11407.13582,0.002896667,84.33333333,0.020722092,68.62745098,55.55555556,54.90196078,45.09803922,68.62745098,56.20915033,54.90196078,45.09803922,9,3.167273597,0.167273597,2.999989141,0.539194915,0.31510021,0.429173693,0.750001543,0.790711457,52.2875817,41.17647059,41.83006536,51.63398693,3,1,3,1,186.9281046,18.6909249774457,2003,12242,171.770447926057,1,1,9,"Jul",0,25,39.3333333333333,753583.695858368,753580.695858368,1.19836322485789e-09,1018,0.0130402780237104,-0.0026606740743511,0.027912483234865,0.0166994949645301,0,94,0.106529555981979
2003,"Finding Nemo (2003)",0,"$94,000,000","$41,123,892","Release Date: 30 May 2003 (USA) See more ‘_","A clown fish named Marlin lives in the Great Barrier Reef loses his son, Nemo. After he ventures into the open sea, despite his father's constant warnings about many of the ocean's dangers. Nemo is abducted by a boat and netted up and sent to a dentist's office in Sydney. So, while Marlin ventures off to try to retrieve Nemo, Marlin meets a fish named Dory, a blue tang suffering from short-term memory loss. The companions travel a great distance, encountering various dangerous sea creatures such as sharks, anglerfish and jellyfish, in order to rescue Nemo from the dentist's office, which is situated by Sydney Harbor. While the two are doing this, Nemo and the other sea animals in the dentist's fish tank plot a way to return to Sydney Harbor to live their lives free again. Written by Anonymous","100 min","Sound Mix: DTS-ES | Dolby Digital EX | SDDS","Color","Aspect Ratio: 1.85 : 1","G",8.2,618062,"844 user","283 critic","1997 -  October","1997 -  October",5,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,38488568.05,87976240.11,283,618062,844,8.2,5,30,3100,5,39,0,0,"USA",1,1,0,"G",7972.148607,0.00869,179,0.055783899,2657.382869,0.002896667,59.66666667,0.018594633,11.76470588,55.55555556,31.37254902,39.86928105,11.76470588,56.20915033,31.37254902,39.86928105,6,3.036322252,0.036322252,2.999988376,0.408898305,0.068421732,0.325463744,0.750001352,0.758019387,10.45751634,36.60130719,27.45098039,9.803921569,3,1,3,1,84.31372549,18.2925773372363,2003,12202,199.102096067313,0,0,30,"May",0,120,36.6666666666667,163637.59998823,163634.59998823,1.19836291945306e-09,772,0.011528361731232,0.000292887902411385,-0.0231948360323857,-0.0221543536125337,0,0,0.155839430168271
2003,"Underworld (2003)",0,"$22,000,000","$51,970,690","Release Date: 19 September 2003 (USA) See more ‘_","A war has been raging between the Vampires and Lycan for centuries, Selene (Beckinsale) is a death dealer, assigned to hunt down and eradicate the last of the Lycan. When she comes across Michael Corvin (Speedman) who holds the key to end the war she must decide where her allegiances will lie. Written by satyr-14 (fixed ShortBrit's summary)","121 min","Sound Mix: DTS | Dolby Digital | SDDS (8 channels)","Color","Aspect Ratio: 2.35 : 1","Rated R for strong violence/gore and some language",7,196460,"801 user","225 critic","null","2 September 2002 - 23 November",3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,48640275.56,20590183.86,225,196460,801,7,9,19,3209,3,42,0,0,"USA",0,1,0,"R",10719.13155,0.00868,127,0.030677026,3573.04385,0.002893333,42.33333333,0.010225675,16.33986928,24.83660131,18.30065359,16.99346405,16.33986928,25.49019608,18.30065359,16.99346405,7,3.089681458,0.089681458,2.999986076,0.336864407,0.168936681,0.268128162,0.750000777,0.77134054,26.14379085,26.79738562,20.26143791,25.49019608,3,1,3,1,98.69281046,16.8403250085416,2003,12314,231.649315466126,1,0,19,"Sep",0,40,30.3333333333333,404025.014330546,404022.014330546,1.19836200068582e-09,636,0.00491372794983185,0.000600033261261176,0.00369082933272742,-0.0027343041897616,0,34,0.00623304583132267
2003,"Daredevil (2003)",0,"$78,000,000","$102,543,519","Release Date: 14 February 2003 (USA) See more ‘_","Fate deals young orphan Matt Murdock a strange hand when he is doused with hazardous waste. The accident leaves Matt blind but also gives him a heightened ""radar sense"" that allows him to ""see"" far better than any man. Years later Murdock has grown into a man and becomes a respected criminal attorney. But after he's done his ""day job"" Matt takes on a secret identity as ""The Man Without Fear,"" Daredevil, the masked avenger that patrols the neighborhood of Hell's Kitchen and New York City to combat the injustice that he cannot tackle in the courtroom. Written by Anonymous","103 min","Sound Mix: DTS | Dolby Digital","Color","Aspect Ratio: 2.35 : 1","Rated PG-13 for action/violence and some sensuality",5.3,164916,"1,028 user","274 critic","null","1 March 2002 - 6 August",5,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,95972268.61,73001560.94,274,164916,1028,5.3,2,14,2994,5,36,0,0,"USA",1,1,0,"PG-13",54875.81893,0.0087,377,0.112036294,18291.93964,0.0029,125.6666667,0.037345431,92.15686275,99.34640523,88.23529412,88.23529412,92.15686275,100,88.23529412,88.23529412,8,3.324089396,0.324089396,2.999993873,1.030720339,0.610500631,0.820404722,0.750002726,0.829860601,89.54248366,91.50326797,94.11764706,88.88888889,3,1,3,1,364.0522876,18.1059913816238,2003,12097,274.453888031105,0,0,14,"Feb",1,21,29.6666666666667,1460051.18870208,1460048.18870208,1.19836511505343e-09,1946,0.0255135874359341,-0.00904491962537121,0.00204505000750604,0.00943976751752257,0,98,0.164178397040814
2003,"Old School (2003)",0,"$24,000,000","$74,608,545","Release Date: 21 February 2003 (USA) See more ‘_","Mitch, Frank and Beanie are disillusioned with their personal lives begining when Mitch's nymphomanic girlfriend, Heidi, cheats on him, then former party animal Frank gets married, but unwilling to get go of his wild life, and Beanie is a family man seeking to reclaim his wild and crazy youth. Beanie suggests that they form their own fraternity in Mitch's new house on a college campus to re-live their glory days by bringing together a variety of misfit college students, losers, middle-aged and elderly retirees as their new friends and later try to avoid being evicted by the new Dean of Students, Pritchard, whom still holds a personal grudge against all three of them. Written by Matthew Patay","88 min","Sound Mix: DTS | Dolby Digital | SDDS","Color","Aspect Ratio: 2.35 : 1","Rated R for some strong sexual content, nudity and language",7.2,178428,"405 user","122 critic","null","7 January 2002 - 18 March",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,69827439.04,22462018.75,122,178428,405,7.2,2,21,3001,3,31,0,0,"USA",0,1,0,"R",66357.53616,0.0087,477,0.149403921,22119.17872,0.0029,159,0.049801307,99.34640523,99.34640523,99.34640523,99.34640523,99.34640523,100,99.34640523,99.34640523,8,3.443820806,0.443820806,2.999995459,1.256355932,0.836043651,1,0.750003123,0.859751608,98.03921569,99.34640523,100,97.38562092,3,1,3,1,394.7712418,16.9273363852479,2003,12104,286.961043386675,0,0,21,"Feb",0,34,33.6666666666667,1999450.59548413,1999447.59548413,1.19836574884265e-09,2372,0.0287264095570892,-0.0153212388252854,0.00300717464514579,0.00473289556028612,0,95,0.123419585172087
2003,"Lost in Translation (2003)",0,"$4,000,000","$44,566,004","Release Date: 3 October 2003 (USA) See more ‘_","Bob Harris is an American film actor, far past his prime. He visits Tokyo to appear in commercials, and he meets Charlotte, the young wife of a visiting photographer. Bored and weary, Bob and Charlotte make ideal if improbable traveling companions. Charlotte is looking for ""her place in life,"" and Bob is tolerating a mediocre stateside marriage. Both separately and together, they live the experience of the American in Tokyo. Bob and Charlotte suffer both confusion and hilarity due to the cultural and language differences between themselves and the Japanese. As the relationship between Bob and Charlotte deepens, they come to the realization that their visits to Japan, and one another, must soon end. Or must they? Written by veloc <velo_00@yahoo.com>","101 min","Sound Mix: Dolby Digital","Color","Aspect Ratio: 1.85 : 1","Rated R for some sexual content",7.8,303209,"1,840 user","265 critic","null","29 September 2002 - 8 November",4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,41710100.73,3743669.792,265,303209,1840,7.8,10,3,3223,1,56,0,0,"USA",0,1,0,"R",49904.88035,0.0087,381,0.118785807,16634.96012,0.0029,127,0.039595269,86.2745098,99.34640523,91.50326797,92.15686275,86.2745098,100,91.50326797,92.15686275,7,3.257259381,0.257259381,2.999993425,0.913135593,0.484610161,0.726812816,0.750002615,0.813176453,76.47058824,88.88888889,85.62091503,75.81699346,3,1,3,1,326.7973856,15.1355769161089,2003,12328,318.266238526535,0,0,3,"Oct",0,25,33.6666666666667,1158976.71983892,1158973.71983892,1.19836493634151e-09,1724,0.0266475246560158,-0.0112600911093552,0.000575532144144294,-0.00283358709483007,0,99,0.291810587979853
2003,"Hulk (2003)",0,"$137,000,000","$132,122,995","Release Date: 20 June 2003 (USA) See more ‘_","Bruce Banner, a brilliant scientist with a cloudy past about his family, is involved in an accident in his laboratory causing him to become exposed to gamma radiation and Nanomeds (A tiny life-form that is supposed to heal wounds but has killed everything with which they have made contact). Confused and curious about his survival, Banner discovers that since the accident, whenever he becomes angry he transforms into a giant green monster destroying everything in sight in an act of fury. Bruce's mysterious past and the answer to why the radiation had this effect becomes revealed to him as his Birth Father David Banner intervenes with hopes to continue experimenting on him. Written by SÍ©amus Hanly","138 min","Sound Mix: Dolby Digital EX | SDDS | DTS-ES","Color","Aspect Ratio: 1.85 : 1","Rated PG-13 for sci-fi action violence, some disturbing images and brief partial nudity",5.7,199468,"1,438 user","265 critic","null","18 March 2002 - 22 August",5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,123656216.3,128220690.4,265,199468,1438,5.7,6,20,3120,5,46,0,0,"USA",0,1,0,"PG-13",13050.06668,0.00869,171,0.048518955,4350.022227,0.002896667,57,0.016172985,21.56862745,55.55555556,28.10457516,32.67973856,21.56862745,56.20915033,28.10457516,32.67973856,9,3.050494621,0.050494621,2.999988177,0.396186441,0.09511881,0.3153457,0.750001302,0.761557526,14.37908497,35.94771242,24.83660131,13.7254902,3,1,3,1,88.88888889,18.6692634810043,2003,12223,215.168023546425,1,0,20,"Jun",0,51,42.3333333333333,227485.233274875,227482.233274875,1.19836283983025e-09,748,0.00944947682726699,0.00435403562399024,-0.0129628398166943,-0.00609919815434687,0,21,0.237754920730367
2003,"Mystic River (2003)",0,"$30,000,000","$90,135,191","Release Date: 15 October 2003 (USA) See more ‘_","In the summer of 1975 in a neighborhood in Boston, 3 kids, Dave Boyle and two of his friends, Jimmy and Sean, are playing on the sidewalk when Dave gets abducted by two men and endures several days of sexual abuse. Eventually, Dave escapes traumatized throughout adulthood. Jimmy is an ex-con and a father of three, whose daughter Katie, is found dead and Dave becomes the number one suspect. Sean is a homicide detective, investigating Katie's murder, ends up finding himself faced with past and present demons as more is uncovered about Katie's murder. Learning Katie had a boyfriend, ballistics later turn up a gun belonging to the father, which then puts her boyfriend as the suspect. Will Sean find out who killed Katie? Will Jimmy make it through the investigation? And will Dave ever find out what really happened when he was abducted? Written by michigans_finest","138 min","Sound Mix: DTS | Dolby Digital | SDDS","Color","Aspect Ratio: 2.35 : 1","Rated R for language and violence",8,320820,"924 user","225 critic","null","26 September 2002 - 17 November",7,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,84359097.94,28077523.44,225,320820,924,8,10,15,3235,3,43,-0.261085051,0.561793489,"USA",1,1,0,"R",40618.51059,0.0087,344,0.102614329,13539.50353,0.0029,114.6666667,0.034204776,77.77777778,99.34640523,83.00653595,83.00653595,77.77777778,100,83.00653595,83.00653595,8,3.281662757,0.281662757,2.999993216,0.875,0.530579813,0.696458685,0.750002562,0.819268769,82.35294118,87.58169935,81.69934641,81.69934641,3,1,3,1,333.3333333,17.1504799366511,2003,12340,246.466608297367,0,0,15,"Oct",0,39,44.3333333333333,1268915.84809922,1268912.84809922,1.19836485288875e-09,1652,0.0240016711434557,-0.00609135764860871,0.00159228547209525,-0.0037926188744887,0,170,0.0528847055975348
